Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSBYTT,1,Fill-in-the-blank(s),Numeric,"<p>Mai and Tyler were standing at one corner of a large rectangular field and decided to race to the opposite corner. Since Mai had a bike and Tyler did not, they thought it would be a fairer race if Mai rode along the sidewalk that surrounds the field while Tyler ran the shorter distance directly across the field. The field is 100 meters long and 80 meters wide. Tyler can run at around 5 meters per second, and Mai can ride her bike at around 7.5 meters per second.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/d915f347-23b0-4510-a123-6e6f6d2b0b06.jpeg"" width=""400""></p>
<p>&nbsp;</p>
<p>A calculator may be necessary to answer the following questions. Round answers to the nearest hundredth.</p>
<p>&nbsp;</p>
<p>If you could give the loser of the race a head start, how much time would they need in order for both people to arrive at the same time?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> seconds</p>",1.6,1.6,,,118016
PSBYTT,2,Fill-in-the-blank(s),Numeric,"<p>If you could make the winner go slower, how slow would they need to go in order for both people to arrive at the same time?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>meters per second</p>",7.03,7.03,,,118107
PSBBYGX,1,Fill-in-the-blank(s),Numeric,"<p>Here is the dot plot showing the travel time, in minutes, of Elena’s bus rides to school.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/190443.jpg"" width=""363"" height=""103""></p>
<p>&nbsp;</p>
<p>Find the median travel time. Be prepared to explain your reasoning.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> minutes</p>",8.5,8.5,,,289171
PSBCBNU,1,Fill-in-the-blank(s),Numeric,"<p>Andre drew a plan of a courtyard at a scale of 1 to 60. On his drawing, one side of the courtyard is 2.75 inches.</p>
<p>&nbsp;</p>
<p>What is the actual measurement of that side of the courtyard in inches?&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> inches</p>",165,165,,,352275
PSBCBNU,2,Fill-in-the-blank(s),Numeric,"<p>Andre drew a plan of a courtyard at a scale of 1 to 60. On his drawing, one side of the courtyard is 2.75 inches.</p>
<p>&nbsp;</p>
<p>What is the actual measurement of that side of the courtyard in feet?&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""2""></ast-r> feet</p>",13.75,13.75,,,352500
PSBB9,2,Fill-in-the-blank(s),Numeric,"<p>How many inches is that?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> inches</p>
<p>&nbsp;</p>",205920,205920,,,242
PSBX5W,1,Fill-in-the-blank(s),Numeric,"<p>The scale of a map says that 4 cm represents 5 km.</p>
<p>&nbsp;</p>
<p>What distance on the map (in centimeters) represents an actual distance of 4 kilometers?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> centimeters</p>",3.2,3.2,,,114557
PSBEKA,4,Fill-in-the-blank(s),Numeric,"<p>Use the equation to predict the fuel efficiency of a car that weighs 100 kilograms.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> mpg</p>
<p>&nbsp;</p>
<p><em><span style=""font-size: 10pt;"">Round your answer to the hundredths place.</span></em></p>",40.16,40.16,,,22902
PSBEKA,5,Fill-in-the-blank(s),Numeric,"<p>Use the equation to predict the weight of a car that has a fuel efficiency of 22 mpg.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> kg</p>
<p>&nbsp;</p>
<p><em><span style=""font-size: 10pt;"">Round your answer to the nearest whole.</span></em></p>",1693,1693,,,23029
PSBB4BH,1,Fill-in-the-blank(s),Numeric,"<p>There are 12 inches in 1 foot and 5,280 feet in 1 mile.&nbsp;Elena ran&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math>&nbsp;miles.</p>
<p>&nbsp;</p>
<p>How many feet is that?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> feet</p>",13200,13200,,,310779
PSBB4BH,2,Fill-in-the-blank(s),Numeric,"<p>How many inches is that? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> inches</p>",158400,158400,,,310891
PSBZU8,1,Fill-in-the-blank(s),Numeric,"<p>A store sells rope by the meter. The equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>p</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mn>0</mn><mo>.</mo><mn>8</mn><mi>L</mi></math> represents the price&nbsp;<em><span><span><span><span>p</span></span></span></span></em>&nbsp;(in dollars) of a piece of nylon rope that is&nbsp;<em><span><span><span><span>L</span></span></span></span>&nbsp;</em>meters long.</p>
<p>&nbsp;</p>
<p>How much does the nylon rope cost per meter?&nbsp; $<ast-r type=""text"" marker=""1""></ast-r></p>",0.8,0.8,,,122934
PSBZU8,2,Fill-in-the-blank(s),Numeric,"<p>A store sells rope by the meter. The equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>p</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mn>0</mn><mo>.</mo><mn>8</mn><mi>L</mi></math> represents the price&nbsp;<em>p,</em>&nbsp;in dollars&nbsp;of a piece of nylon rope that is <em>L&nbsp;</em>meters long.</p>
<p>&nbsp;</p>
<p>How long is a piece of nylon rope that costs $1.00? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> meters</p>",1.25,1.25,,,123580
PSBBGN8,1,Fill-in-the-blank(s),Numeric,"<p>Here is a&nbsp;<strong>histogram</strong>&nbsp;that shows some dog weights in&nbsp;pounds.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/90440171-6dad-47b0-ac96-9f764de0afa4.jpeg"" width=""380"" height=""246""></p>
<p>&nbsp;</p>
<p>Each bar includes the left-end value but not the right-end value. For example, the first bar includes dogs that weigh 60 pounds and 68 pounds&nbsp;but not&nbsp;80 pounds.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Use the histogram to answer the following questions.</p>
<p>How many dogs weigh at least 100 pounds?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> dogs</p>",23,23,,,206643
PRABFKUK,1,Order / Sort,Ordering,<p>Order these numbers from greatest to least:</p>,"<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mn>3</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>4</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>7</mn><mn>4</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mn>4</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mfrac><mn>5</mn><mn>4</mn></mfrac></math></p>","<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mn>3</mn><mfrac><mn>1</mn><mn>2</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>4</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>7</mn><mn>4</mn></mfrac></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mn>4</mn></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>-</mo><mfrac><mn>5</mn><mn>4</mn></mfrac></math></p>",,,86693
PSBEWH,3,Fill-in-the-blank(s),Numeric,"<p>It took Clare 30 minutes to walk around the garden at a constant speed. At what speed was she walking?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> feet per hour</p>",16800,16800,,,24870
PSBEWH,1,Fill-in-the-blank(s),Numeric,"<p>Here is a map of the Missouri Botanical Garden. Clare walked all the way around the garden.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/22bf6755-b93a-4cc9-b679-1005aa9007ff.jpeg"" alt=""A map of Missouri Botanical Garden which has a scale measure that represents 0, 300, and 600 feet."" width=""442"" height=""416""></p>
<p>&nbsp;</p>
<p>What is the actual distance around the garden? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> feet</p>",8400,8400,,,24640
PRABQP67,1,Order / Sort,Ordering,<p>Put these numbers in order from least to greatest:</p>,"<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>27</mn><mn>3</mn></mroot></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>36</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>64</mn><mn>3</mn></mroot></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>10</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>8</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>16</mn><mn>3</mn></mroot></math></p>","<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>27</mn><mn>3</mn></mroot></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>36</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>64</mn><mn>3</mn></mroot></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>10</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mn>8</mn></msqrt></math></p>, <p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mn>16</mn><mn>3</mn></mroot></math></p>",,,316129
PSBBGTE,1,Fill-in-the-blank(s),Numeric,"<p>Here is Quadrilateral&nbsp;ABCD.</p>
<table style=""border-collapse: collapse; width: 99.9697%;"" border=""0"">
<tbody>
<tr>
<td style=""width: 28.8868%;""><img src=""//resources.assistments.org/fetch/C/e3bd06f4-9446-4872-99c6-206ba59eed62.jpeg"" alt=""Quadrilateral ABCD is on a grid."" width=""250"" height=""253""></td>
<td style=""width: 71.0823%;"">
<p>Quadrilateral&nbsp;PQRS&nbsp;is a scaled copy of Quadrilateral&nbsp;ABCD. Point&nbsp;P&nbsp;corresponds to&nbsp;A,&nbsp;Q&nbsp;to&nbsp;B,&nbsp;R&nbsp;to&nbsp;C, and&nbsp;S&nbsp;to&nbsp;D.</p>
<p>&nbsp;</p>
<p>If the distance from&nbsp;P&nbsp;to&nbsp;R&nbsp;is 3 units, what is the distance from&nbsp;Q&nbsp;to&nbsp;S? &nbsp;<ast-r type=""text"" marker=""1""></ast-r> units</p>
</td>
</tr>
</tbody>
</table>",3,3,,,207210
PSBK3Q,1,Fill-in-the-blank(s),Numeric,"<p>Your teacher will give you a drawing of the Apollo Lunar Module. It is drawn at a scale of 1 to 50.</p>
<p>&nbsp;</p>
<p>The “legs” of the spacecraft are its landing gear. Use the drawing to estimate the actual length of each&nbsp;leg&nbsp;on the sides. Write your answer to the nearest 10 centimeters.</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> centimeters</p>",350,350,,,51489
PSB3YG,6,Fill-in-the-blank(s),Numeric,"<p>How much will they make if they sell a million tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",62200000,62200000,,,135875
PSBBG4V,4,Fill-in-the-blank(s),Numeric,"<p><img src=""//resources.assistments.org/fetch/C/723f9398-56e0-4075-b285-2e2edbf427a7.jpeg"" alt=""Two 4-sided figures in a coordinate plane labeled Figure 1 and Figure 2. Figure 1 has points A and C marked. Figure 2 has points Q and S marked. "" width=""447"" height=""326""></p>
<p>What is the distance between B and D? &nbsp;<ast-r type=""text"" marker=""1""></ast-r> units</p>",3,3,,,208594
PSBBG4V,5,Fill-in-the-blank(s),Numeric,"<p>&nbsp;Figure 2 is a scaled copy of Figure 1.</p>
<p><img src=""//resources.assistments.org/fetch/C/91c669dc-a668-46a1-8cbe-44c59343e300.jpeg"" alt=""Two 4-sided figures in a coordinate plane labeled Figure 1 and Figure 2. Figure 1 has points A and C marked. Figure 2 has points Q and S marked. "" width=""322"" height=""235""></p>
<p>&nbsp;</p>
<p>What is the scale factor that takes Figure 1 to Figure 2? &nbsp;<ast-r type=""text"" marker=""1""></ast-r></p>",3,3,,,208921
PSB3YG,7,Fill-in-the-blank(s),Algebraic Expression,"<p>How much will they make if they sell&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi></math> tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>
<p>&nbsp;</p>
<p><em><span style=""font-size: 10pt;"">Use <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi></math> as your variable.</span></em></p>
<p>&nbsp;</p>",62.2x,62.2x,,,136020
PSB3YG,8,Fill-in-the-blank(s),Numeric,"<p>If they make&nbsp;$404,300, how many tickets have they sold?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> tickets</p>",6500,6500,,,136146
PRABEPJS,1,Fill-in-the-blank(s),Numeric,"<p>Complete the equation with a number that makes it true.</p>
<p><br><span style=""font-size: 14pt;"">5 &middot;</span><ast-r type=""text"" marker=""1""></ast-r><span style=""font-size: 14pt;"">= 15</span></p>",3,3,,,109056
PRABTGS8,1,Fill-in-the-blank(s),Numeric,"<p>Complete the equation with a number that makes it true.</p>
<p><br><span style=""font-size: 14pt;"">4 &middot; <ast-r type=""text"" marker=""1""></ast-r></span><span style=""font-size: 14pt;"">= 32</span></p>",8,8,,,109387
PRABTGS9,1,Fill-in-the-blank(s),Numeric,"<p>Complete the equation with a number that makes it true.</p>
<p>&nbsp;</p>
<p><span style=""font-size: 14pt;"">6 &middot; <ast-r type=""text"" marker=""1""></ast-r></span><span style=""font-size: 14pt;"">= 9</span></p>","1 1/2, 3/2, 1.5","1 1/2, 3/2, 1.5",,,109501
PRABTGTA,1,Fill-in-the-blank(s),Numeric,"<p>Complete the equation with a number that makes it true.</p>
<p><br><span style=""font-size: 14pt;"">12 &middot; <ast-r type=""text"" marker=""1""></ast-r></span><span style=""font-size: 14pt;"">= 3</span></p>","1/4, 0.25","1/4, 0.25",,,109628
PRABEQDY,1,Fill-in-the-blank(s),Numeric,"<p>A model airplane is built at a scale of 1 to 72. If the model plane is 8 inches long, how many feet long is the actual airplane?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> feet</p>",48,48,,,124091
PSBBSSH,1,Fill-in-the-blank(s),Numeric,"<p>These two triangles are scaled copies of one another. The area of the smaller triangle is 9 square units. What is the area of the larger triangle? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> square units</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/826a130e-abd5-4837-9080-763c3fea8575.jpeg"" alt=""Scaled copies of two triangles. Triangle on left, height equals 3. Triangle on right, height equals 6."" width=""580"" height=""199""></p>",36,36,,,256312
PSBDYSP,1,Fill-in-the-blank(s),Numeric,"<p>Water costs $1.25 per bottle. At this rate, what is the cost of 10 bottles?</p>
<p>&nbsp;</p>
<p>&nbsp;$<ast-r type=""text"" marker=""1""></ast-r></p>",12.5,12.5,,,643786
PSBDYSP,2,Fill-in-the-blank(s),Numeric,"<p>Water costs $1.25 per bottle. At this rate, what is the cost of 20 bottles?&nbsp;</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",25,25,,,644011
PSBDYSP,3,Fill-in-the-blank(s),Numeric,"<p>Water costs $1.25 per bottle. At this rate, what is the cost of 50 bottles?</p>
<p>&nbsp;</p>
<p>&nbsp;$<ast-r type=""text"" marker=""1""></ast-r></p>",62.5,62.5,,,644155
PSBDET5,1,Fill-in-the-blank(s),Numeric,"<p>An area of 4 square yards is equal to 36 square feet. 10 square yards is equal to how many square feet? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>square feet</p>",90,90,,,547591
PSBQ8E,3,Fill-in-the-blank(s),Algebraic Expression,"<p>Write an equation to represent the relationship between the number of calories, <em>c </em>and the number of servings of granola, <em>s</em>.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><em>c</em> =&nbsp;&nbsp;<ast-r type=""text"" marker=""1""></ast-r></p>",350s,350s,,,74204
PSB3YG,1,Fill-in-the-blank(s),Numeric,"<p>A performer expects to sell 5,000 tickets for an upcoming concert. They want to make a total of&nbsp;$311,000 in sales from these tickets.</p>
<p>&nbsp;</p>
<p>Assuming that all tickets have the same price, what is the price for one ticket?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",62.2,62.2,,,135233
PSB3YG,2,Fill-in-the-blank(s),Numeric,"<p>How much will they make if they sell 7,000 tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",435400,435400,,,135345
PSB3YG,3,Fill-in-the-blank(s),Numeric,"<p>How much will they make if they sell 10,000 tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",622000,622000,,,135491
PSB3YG,4,Fill-in-the-blank(s),Numeric,"<p>How much will they make if they sell 50,000 tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",3110000,3110000,,,135638
PSB3YG,5,Fill-in-the-blank(s),Numeric,"<p>How much will they make if they sell 120,000 tickets?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",7464000,7464000,,,135753
PSBDEQN,1,Fill-in-the-blank(s),Numeric,"<p>Blueberries cost&nbsp;$4.00 per pound.&nbsp;</p>
<p>&nbsp;</p>
<p>How many pounds of blueberries can you buy for $1.00? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> pounds of blueberries</p>",0.25,0.25,,,546775
PSBK3Q,5,Fill-in-the-blank(s),Numeric,"<p>Neil Armstrong was 71 inches tall when he went to the Moon. How tall would he be in this scale drawing?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> inches</p>
<p>&nbsp;</p>
<p><em><span style=""font-size: 10pt;"">Round your answer to the tenths.</span></em></p>",1.4,1.4,,,52116
PRABMPBK,1,Fill-in-the-blank(s),Numeric,"<p>Complete&nbsp;the&nbsp;equation with a number that makes it true.<br><br></p>
<p><span style=""font-size: 14pt;"">8&nbsp;&sdot; &nbsp;</span><ast-r type=""text"" marker=""1""></ast-r><span style=""font-size: 14pt;"">&nbsp;=&nbsp; 40</span></p>",5,5,,,360938
PRABMPBP,1,Fill-in-the-blank(s),Numeric,"<p>Complete&nbsp;the&nbsp;equation with a number that makes it true.</p>
<p><br><span style=""font-size: 14pt;"">21 - </span><ast-r type=""text"" marker=""1""></ast-r><span style=""font-size: 14pt;"">&nbsp;=&nbsp; 7</span></p>",14,14,,,361546
PSBBMYV,1,Fill-in-the-blank(s),Numeric,"<p>A local park is in the shape of a square. A map of the local park is made with the scale 1 inch to 200 feet.&nbsp;&nbsp;</p>
<p>&nbsp;</p>
<p>If the park is shown as a square on the map, each side of which is one foot long, how long is each side of the square park?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> feet</p>",2400,2400,,,230683
PSBBMYV,2,Fill-in-the-blank(s),Numeric,"<p>A local park is in the shape of a square. A map of the local park is made with the scale 1 inch to 200 feet.&nbsp;&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>If a straight path in the park is 900 feet long, how long would the path be when represented on the map?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> inches</p>",4.5,4.5,,,231026
PSBRRZ,1,Fill-in-the-blank(s),Numeric,"<p>A scale drawing of a lake has a scale of 1 cm to 80 m. If the actual width of the lake is 1,000 m, what is the width of the lake on the scale drawing? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cm</p>",12.5,12.5,,,76811
PSBZVR,1,Fill-in-the-blank(s),Numeric,"<p>Here is Triangle A. Lin created a scaled copy of Triangle A with an area of 72 square units.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/e818313e-0350-4581-b117-f38087ce949f.jpeg"" alt=""Triangle A has a base of 3 and a height of 3."" width=""232"" height=""234""></p>
<p>&nbsp;</p>
<p>How many times larger is the area of the scaled copy compared to that of Triangle A? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>times larger</p>",16,16,,,123304
PSB3YG,9,Fill-in-the-blank(s),Numeric,"<p>How many tickets will they have to sell to make $5,000,000?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> tickets</p>",80386,80386,,,136282
PSBHPP,1,Fill-in-the-blank(s),Numeric,"<p>Strawberries cost $3.00 per pound.&nbsp;</p>
<p>&nbsp;</p>
<p>How many pounds of strawberries can you buy for $1.00? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> pounds of strawberries</p>",3-Jan,3-Jan,,,39724
PSBBZFQ,1,Fill-in-the-blank(s),Algebraic Expression,"<p>A trail mix recipe asks for 4 cups of raisins for every 6 cups of peanuts. There is proportional relationship between the amount of raisins,&nbsp;<em>r</em>&nbsp;(cups), and the amount of peanuts,&nbsp;<em>p</em>&nbsp;(cups),&nbsp;in this recipe.</p>
<p>&nbsp;</p>
<p>Write the equation for the relationship that has a constant of proportionality greater than 1.&nbsp;</p>
<p>&nbsp;</p>
<p><em>p</em> = <ast-r type=""text"" marker=""1""></ast-r></p>
<p><em><span style=""font-size: 10pt;"">Use&nbsp;r as your variable.</span></em></p>",6/4r,6/4r,,,294155
PSBHRT,1,Fill-in-the-blank(s),Numeric,"<p>Clare made some lemonade by mixing 6 cups of water with 8 tablespoons of lemonade powder.</p>
<p>&nbsp;</p>
<p>How many tablespoons of powder per cup of water is that?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> tablespoons of powder per cup of water</p>",6-Aug,6-Aug,,,40293
PSBX7W,1,Fill-in-the-blank(s),Numeric,"<p>Tyler has two different maps of Ohio.</p>
<p>&nbsp;</p>
<ul>
<li>The scale on the first map&nbsp;is 1 cm to&nbsp;10 km. The distance from Cleveland to Cincinnati&nbsp;is 40&nbsp;cm.</li>
<li>The scale on the second map is&nbsp;1 cm to&nbsp;50 km.<br><br><br></li>
</ul>
<p>What is the distance from Cleveland to Cincinnati on the second&nbsp;map?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> cm</p>",8,8,,,114882
PSBHRT,2,Fill-in-the-blank(s),Numeric,"<p>Clare made some lemonade by mixing 6 cups of water with 8 tablespoons of lemonade powder.</p>
<p>&nbsp;</p>
<p>How many cups of water per tablespoon of powder is that?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cups of water per tablespoon of powder</p>",8-Jun,8-Jun,,,40426
PSBBBZA,1,Fill-in-the-blank(s),Numeric,"<p>Clare is cycling at a speed of 12 miles per hour. If she starts at a position chosen as zero, what will her position be after 45 minutes? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>&nbsp;miles</p>",9,9,,,179837
PSBBBZA,2,Fill-in-the-blank(s),Numeric,"<p>Han is cycling at a speed of -8 miles per hour; if he starts at the same zero point, what will his position be after 45 minutes?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r>&nbsp;miles</p>",-6,-6,,,180087
PSBBBTV,1,Fill-in-the-blank(s),Numeric,"<p>A submarine is searching for underwater features. It is accompanied by a small aircraft and an underwater robotic vehicle.</p>
<p>&nbsp;</p>
<p>At one time the aircraft is 200 m above the surface, the submarine is 55 m below the surface, and the underwater robotic vehicle is 227 m below the surface.&nbsp;</p>
<p>&nbsp;</p>
<p>What is the difference in height between the submarine and the aircraft? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> m</p>",255,255,,,179142
PSBBBZA,3,Fill-in-the-blank(s),Numeric,"<p>What will the distance between them be after 45 minutes?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>&nbsp;miles</p>",15,15,,,180403
PSB36Y,1,Fill-in-the-blank(s),Numeric,"<p>Aluminum cans can be recycled instead of being thrown in the garbage. The weight of 10 aluminum cans is 0.16 kilograms. The aluminum in 10 cans that are recycled has a value of&nbsp;$0.14.</p>
<p>&nbsp;</p>
<p>If a family threw away 2.4 kg of aluminum in a month, how many cans did they throw away?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cans</p>",150,150,,,136496
PSBB96V,5,Fill-in-the-blank(s),Numeric,"<p>How far away from the ticket booth was Tyler after 1 second?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> meters</p>",1.25,1.25,,,343609
PSBB96V,7,Fill-in-the-blank(s),Numeric,"<p>What is the constant of proportionality for the relationship between time and distance?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",1.25,1.25,,,343945
PSBC5SN,1,Fill-in-the-blank(s),Numeric,"<p>Jada volunteers at an animal shelter that holds picnics to introduce people to animals. For the first picnic, she brought 36 clementines for 16 people, which was the right amount. For the next picnic, there will be 40 people! How many clementines should Jada bring for all those people? (Note: clementines are fruits that are like small oranges.).</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>clementines</p>",90,90,,,495575
PSBU7R,1,Fill-in-the-blank(s),Numeric,"<p>Noah has a coupon for 30% off at his favorite clothing store. He uses it to buy a hoodie and a pair of jeans.</p>
<p>&nbsp;</p>
<p>Noah paid $28 for the jeans after using the coupon. What is the regular price of the jeans?&nbsp;</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",40,40,,,96632
PRABEU34,1,Fill-in-the-blank(s),Numeric,"<p>A circular running track is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>4</mn></mfrac></math>&nbsp;mile long. Elena runs on this track, completing each lap in&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>20</mn></mfrac></math>&nbsp;of an hour.</p>
<p>&nbsp;</p>
<div>
<p>What is Elena&rsquo;s running speed?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r>&nbsp;miles per hour</p>
</div>",5,5,,,501551
